age,gender,state,category,annual_income,occupation,employment_status,education_level,family_size,land_holding,bpl_card,disability_status,scheme_name,scheme_category,eligible,citizen_id
46,Female,Kerala,ST,81902.49,Unemployed,Unemployed,Graduate,2,0.0,False,True,Ayushman Bharat,Healthcare,False,4
46,Female,Kerala,ST,81902.49,Unemployed,Unemployed,Graduate,2,0.0,False,True,PM Awas Yojana,Housing,False,4
46,Female,Kerala,ST,81902.49,Unemployed,Unemployed,Graduate,2,0.0,False,True,Skill India,Employment,True,4
43,Female,Kerala,OBC,1272385.19,Private Employee,Employed,Diploma,2,0.0,False,True,PM Kisan,Agriculture,False,5
43,Female,Kerala,OBC,1272385.19,Private Employee,Employed,Diploma,2,0.0,False,True,Post Matric Scholarship,Education,False,5
43,Female,Kerala,OBC,1272385.19,Private Employee,Employed,Diploma,2,0.0,False,True,Ayushman Bharat,Healthcare,False,5
43,Female,Kerala,OBC,1272385.19,Private Employee,Employed,Diploma,2,0.0,False,True,PM Awas Yojana,Housing,False,5
43,Female,Kerala,OBC,1272385.19,Private Employee,Employed,Diploma,2,0.0,False,True,Skill India,Employment,False,5
21,Other,Kerala,General,11306.01,Student,Student,Higher Secondary,4,0.0,True,False,PM Kisan,Agriculture,False,6
21,Other,Kerala,General,11306.01,Student,Student,Higher Secondary,4,0.0,True,False,Post Matric Scholarship,Education,True,6
21,Other,Kerala,General,11306.01,Student,Student,Higher Secondary,4,0.0,True,False,Ayushman Bharat,Healthcare,True,6
21,Other,Kerala,General,11306.01,Student,Student,Higher Secondary,4,0.0,True,False,PM Awas Yojana,Housing,True,6
21,Other,Kerala,General,11306.01,Student,Student,Higher Secondary,4,0.0,True,False,Skill India,Employment,True,6
39,Female,Maharashtra,SC,661647.02,Government Employee,Employed,Post Graduate,6,0.0,False,False,PM Kisan,Agriculture,False,7
39,Female,Maharashtra,SC,661647.02,Government Employee,Employed,Post Graduate,6,0.0,False,False,Post Matric Scholarship,Education,False,7
39,Female,Maharashtra,SC,661647.02,Government Employee,Employed,Post Graduate,6,0.0,False,False,Ayushman Bharat,Healthcare,False,7
39,Female,Maharashtra,SC,661647.02,Government Employee,Employed,Post Graduate,6,0.0,False,False,PM Awas Yojana,Housing,False,7
39,Female,Maharashtra,SC,661647.02,Government Employee,Employed,Post Graduate,6,0.0,False,False,Skill India,Employment,False,7
44,Male,Maharashtra,General,737869.02,Business,Self-Employed,Graduate,6,2.51,False,False,PM Kisan,Agriculture,False,8
44,Male,Maharashtra,General,737869.02,Business,Self-Employed,Graduate,6,2.51,False,False,Post Matric Scholarship,Education,False,8
44,Male,Maharashtra,General,737869.02,Business,Self-Employed,Graduate,6,2.51,False,False,Ayushman Bharat,Healthcare,False,8
44,Male,Maharashtra,General,737869.02,Business,Self-Employed,Graduate,6,2.51,False,False,PM Awas Yojana,Housing,False,8
44,Male,Maharashtra,General,737869.02,Business,Self-Employed,Graduate,6,2.51,False,False,Skill India,Employment,False,8
24,Other,Kerala,General,46809.37,Student,Student,Higher Secondary,3,0.0,False,True,PM Kisan,Agriculture,False,9
24,Other,Kerala,General,46809.37,Student,Student,Higher Secondary,3,0.0,False,True,Post Matric Scholarship,Education,True,9
24,Other,Kerala,General,46809.37,Student,Student,Higher Secondary,3,0.0,False,True,Ayushman Bharat,Healthcare,False,9
24,Other,Kerala,General,46809.37,Student,Student,Higher Secondary,3,0.0,False,True,PM Awas Yojana,Housing,False,9
24,Other,Kerala,General,46809.37,Student,Student,Higher Secondary,3,0.0,False,True,Skill India,Employment,True,9
32,Other,Karnataka,SC,89346.71,Unemployed,Unemployed,Graduate,7,0.0,False,False,PM Kisan,Agriculture,False,10
32,Other,Karnataka,SC,89346.71,Unemployed,Unemployed,Graduate,7,0.0,False,False,Post Matric Scholarship,Education,False,10
32,Other,Karnataka,SC,89346.71,Unemployed,Unemployed,Graduate,7,0.0,False,False,Ayushman Bharat,Healthcare,False,10
32,Other,Karnataka,SC,89346.71,Unemployed,Unemployed,Graduate,7,0.0,False,False,PM Awas Yojana,Housing,False,10
32,Other,Karnataka,SC,89346.71,Unemployed,Unemployed,Graduate,7,0.0,False,False,Skill India,Employment,True,10
42,Male,Tamil Nadu,ST,17370.85,Unemployed,Unemployed,Primary,3,0.0,False,True,PM Kisan,Agriculture,False,11
42,Male,Tamil Nadu,ST,17370.85,Unemployed,Unemployed,Primary,3,0.0,False,True,Post Matric Scholarship,Education,False,11
42,Male,Tamil Nadu,ST,17370.85,Unemployed,Unemployed,Primary,3,0.0,False,True,Ayushman Bharat,Healthcare,False,11
42,Male,Tamil Nadu,ST,17370.85,Unemployed,Unemployed,Primary,3,0.0,False,True,PM Awas Yojana,Housing,False,11
42,Male,Tamil Nadu,ST,17370.85,Unemployed,Unemployed,Primary,3,0.0,False,True,Skill India,Employment,False,11
23,Other,Delhi,General,36718.59,Student,Student,Higher Secondary,3,0.0,True,False,PM Kisan,Agriculture,False,12
23,Other,Delhi,General,36718.59,Student,Student,Higher Secondary,3,0.0,True,False,Post Matric Scholarship,Education,True,12
23,Other,Delhi,General,36718.59,Student,Student,Higher Secondary,3,0.0,True,False,Ayushman Bharat,Healthcare,True,12
23,Other,Delhi,General,36718.59,Student,Student,Higher Secondary,3,0.0,True,False,PM Awas Yojana,Housing,True,12
23,Other,Delhi,General,36718.59,Student,Student,Higher Secondary,3,0.0,True,False,Skill India,Employment,True,12
38,Male,Maharashtra,SC,1107695.78,Business,Self-Employed,Post Graduate,2,2.69,False,False,PM Kisan,Agriculture,False,13
38,Male,Maharashtra,SC,1107695.78,Business,Self-Employed,Post Graduate,2,2.69,False,False,Post Matric Scholarship,Education,False,13
38,Male,Maharashtra,SC,1107695.78,Business,Self-Employed,Post Graduate,2,2.69,False,False,Ayushman Bharat,Healthcare,False,13
38,Male,Maharashtra,SC,1107695.78,Business,Self-Employed,Post Graduate,2,2.69,False,False,PM Awas Yojana,Housing,False,13
38,Male,Maharashtra,SC,1107695.78,Business,Self-Employed,Post Graduate,2,2.69,False,False,Skill India,Employment,False,13
55,Male,Delhi,OBC,649202.05,Private Employee,Employed,Graduate,2,0.0,False,True,PM Kisan,Agriculture,False,14
55,Male,Delhi,OBC,649202.05,Private Employee,Employed,Graduate,2,0.0,False,True,Post Matric Scholarship,Education,False,14
55,Male,Delhi,OBC,649202.05,Private Employee,Employed,Graduate,2,0.0,False,True,Ayushman Bharat,Healthcare,False,14
55,Male,Delhi,OBC,649202.05,Private Employee,Employed,Graduate,2,0.0,False,True,PM Awas Yojana,Housing,False,14
55,Male,Delhi,OBC,649202.05,Private Employee,Employed,Graduate,2,0.0,False,True,Skill India,Employment,False,14
36,Other,Tamil Nadu,ST,1247871.72,Private Employee,Employed,Diploma,4,0.0,False,True,PM Kisan,Agriculture,False,15
36,Other,Tamil Nadu,ST,1247871.72,Private Employee,Employed,Diploma,4,0.0,False,True,Post Matric Scholarship,Education,False,15
36,Other,Tamil Nadu,ST,1247871.72,Private Employee,Employed,Diploma,4,0.0,False,True,Ayushman Bharat,Healthcare,False,15
36,Other,Tamil Nadu,ST,1247871.72,Private Employee,Employed,Diploma,4,0.0,False,True,PM Awas Yojana,Housing,False,15
36,Other,Tamil Nadu,ST,1247871.72,Private Employee,Employed,Diploma,4,0.0,False,True,Skill India,Employment,False,15
34,Other,Karnataka,SC,482664.22,Farmer,Self-Employed,Secondary,5,1.67,True,False,PM Kisan,Agriculture,False,16
34,Other,Karnataka,SC,482664.22,Farmer,Self-Employed,Secondary,5,1.67,True,False,Post Matric Scholarship,Education,False,16
34,Other,Karnataka,SC,482664.22,Farmer,Self-Employed,Secondary,5,1.67,True,False,Ayushman Bharat,Healthcare,False,16
34,Other,Karnataka,SC,482664.22,Farmer,Self-Employed,Secondary,5,1.67,True,False,PM Awas Yojana,Housing,False,16
34,Other,Karnataka,SC,482664.22,Farmer,Self-Employed,Secondary,5,1.67,True,False,Skill India,Employment,False,16
21,Other,Delhi,OBC,42458.9,Student,Unemployed,Higher Secondary,5,0.0,False,False,PM Kisan,Agriculture,False,17
21,Other,Delhi,OBC,42458.9,Student,Unemployed,Higher Secondary,5,0.0,False,False,Post Matric Scholarship,Education,False,17
21,Other,Delhi,OBC,42458.9,Student,Unemployed,Higher Secondary,5,0.0,False,False,Ayushman Bharat,Healthcare,False,17
21,Other,Delhi,OBC,42458.9,Student,Unemployed,Higher Secondary,5,0.0,False,False,PM Awas Yojana,Housing,False,17
21,Other,Delhi,OBC,42458.9,Student,Unemployed,Higher Secondary,5,0.0,False,False,Skill India,Employment,True,17
24,Other,Karnataka,General,1189260.65,Government Employee,Employed,Graduate,6,0.0,False,True,PM Kisan,Agriculture,False,18
24,Other,Karnataka,General,1189260.65,Government Employee,Employed,Graduate,6,0.0,False,True,Post Matric Scholarship,Education,False,18
24,Other,Karnataka,General,1189260.65,Government Employee,Employed,Graduate,6,0.0,False,True,Ayushman Bharat,Healthcare,False,18
24,Other,Karnataka,General,1189260.65,Government Employee,Employed,Graduate,6,0.0,False,True,PM Awas Yojana,Housing,False,18
24,Other,Karnataka,General,1189260.65,Government Employee,Employed,Graduate,6,0.0,False,True,Skill India,Employment,False,18
69,Other,Kerala,General,244572.42,Retired,Retired,Secondary,2,4.07,False,False,PM Kisan,Agriculture,False,19
69,Other,Kerala,General,244572.42,Retired,Retired,Secondary,2,4.07,False,False,Post Matric Scholarship,Education,False,19
69,Other,Kerala,General,244572.42,Retired,Retired,Secondary,2,4.07,False,False,Ayushman Bharat,Healthcare,False,19
69,Other,Kerala,General,244572.42,Retired,Retired,Secondary,2,4.07,False,False,PM Awas Yojana,Housing,False,19
69,Other,Kerala,General,244572.42,Retired,Retired,Secondary,2,4.07,False,False,Skill India,Employment,False,19
20,Female,Kerala,OBC,91563.19,Unemployed,Unemployed,Graduate,4,0.0,False,True,PM Kisan,Agriculture,False,20
20,Female,Kerala,OBC,91563.19,Unemployed,Unemployed,Graduate,4,0.0,False,True,Post Matric Scholarship,Education,False,20
20,Female,Kerala,OBC,91563.19,Unemployed,Unemployed,Graduate,4,0.0,False,True,Ayushman Bharat,Healthcare,False,20
20,Female,Kerala,OBC,91563.19,Unemployed,Unemployed,Graduate,4,0.0,False,True,PM Awas Yojana,Housing,False,20
20,Female,Kerala,OBC,91563.19,Unemployed,Unemployed,Graduate,4,0.0,False,True,Skill India,Employment,True,20
46,Female,Kerala,General,94792.93,Farmer,Self-Employed,Secondary,7,7.97,True,False,PM Kisan,Agriculture,True,21
46,Female,Kerala,General,94792.93,Farmer,Self-Employed,Secondary,7,7.97,True,False,Post Matric Scholarship,Education,False,21
46,Female,Kerala,General,94792.93,Farmer,Self-Employed,Secondary,7,7.97,True,False,Ayushman Bharat,Healthcare,True,21
46,Female,Kerala,General,94792.93,Farmer,Self-Employed,Secondary,7,7.97,True,False,PM Awas Yojana,Housing,True,21
46,Female,Kerala,General,94792.93,Farmer,Self-Employed,Secondary,7,7.97,True,False,Skill India,Employment,False,21
23,Male,Maharashtra,SC,797731.67,Government Employee,Employed,Post Graduate,4,0.0,False,False,PM Kisan,Agriculture,False,22
23,Male,Maharashtra,SC,797731.67,Government Employee,Employed,Post Graduate,4,0.0,False,False,Post Matric Scholarship,Education,False,22
23,Male,Maharashtra,SC,797731.67,Government Employee,Employed,Post Graduate,4,0.0,False,False,Ayushman Bharat,Healthcare,False,22
23,Male,Maharashtra,SC,797731.67,Government Employee,Employed,Post Graduate,4,0.0,False,False,PM Awas Yojana,Housing,False,22
23,Male,Maharashtra,SC,797731.67,Government Employee,Employed,Post Graduate,4,0.0,False,False,Skill India,Employment,False,22
28,Male,Kerala,General,477517.19,Private Employee,Employed,Diploma,5,0.0,False,True,PM Kisan,Agriculture,False,23
28,Male,Kerala,General,477517.19,Private Employee,Employed,Diploma,5,0.0,False,True,Post Matric Scholarship,Education,False,23
28,Male,Kerala,General,477517.19,Private Employee,Employed,Diploma,5,0.0,False,True,Ayushman Bharat,Healthcare,False,23
28,Male,Kerala,General,477517.19,Private Employee,Employed,Diploma,5,0.0,False,True,PM Awas Yojana,Housing,False,23
28,Male,Kerala,General,477517.19,Private Employee,Employed,Diploma,5,0.0,False,True,Skill India,Employment,False,23
55,Female,Tamil Nadu,ST,459044.62,Business,Self-Employed,Graduate,4,2.77,False,True,PM Kisan,Agriculture,False,24
55,Female,Tamil Nadu,ST,459044.62,Business,Self-Employed,Graduate,4,2.77,False,True,Post Matric Scholarship,Education,False,24
55,Female,Tamil Nadu,ST,459044.62,Business,Self-Employed,Graduate,4,2.77,False,True,Ayushman Bharat,Healthcare,False,24
55,Female,Tamil Nadu,ST,459044.62,Business,Self-Employed,Graduate,4,2.77,False,True,PM Awas Yojana,Housing,False,24
55,Female,Tamil Nadu,ST,459044.62,Business,Self-Employed,Graduate,4,2.77,False,True,Skill India,Employment,False,24
23,Female,Kerala,SC,48254.53,Student,Student,Higher Secondary,5,0.0,True,False,PM Kisan,Agriculture,False,25
23,Female,Kerala,SC,48254.53,Student,Student,Higher Secondary,5,0.0,True,False,Post Matric Scholarship,Education,True,25
23,Female,Kerala,SC,48254.53,Student,Student,Higher Secondary,5,0.0,True,False,Ayushman Bharat,Healthcare,True,25
23,Female,Kerala,SC,48254.53,Student,Student,Higher Secondary,5,0.0,True,False,PM Awas Yojana,Housing,True,25
23,Female,Kerala,SC,48254.53,Student,Student,Higher Secondary,5,0.0,True,False,Skill India,Employment,True,25
31,Female,Kerala,SC,112424.02,Farmer,Self-Employed,Primary,5,4.84,True,False,PM Kisan,Agriculture,True,26
31,Female,Kerala,SC,112424.02,Farmer,Self-Employed,Primary,5,4.84,True,False,Post Matric Scholarship,Education,False,26
31,Female,Kerala,SC,112424.02,Farmer,Self-Employed,Primary,5,4.84,True,False,Ayushman Bharat,Healthcare,True,26
31,Female,Kerala,SC,112424.02,Farmer,Self-Employed,Primary,5,4.84,True,False,PM Awas Yojana,Housing,True,26
31,Female,Kerala,SC,112424.02,Farmer,Self-Employed,Primary,5,4.84,True,False,Skill India,Employment,False,26
23,Other,Kerala,SC,15554.42,Student,Student,Higher Secondary,5,0.0,False,True,PM Kisan,Agriculture,False,27
23,Other,Kerala,SC,15554.42,Student,Student,Higher Secondary,5,0.0,False,True,Post Matric Scholarship,Education,True,27
23,Other,Kerala,SC,15554.42,Student,Student,Higher Secondary,5,0.0,False,True,Ayushman Bharat,Healthcare,False,27
23,Other,Kerala,SC,15554.42,Student,Student,Higher Secondary,5,0.0,False,True,PM Awas Yojana,Housing,False,27
23,Other,Kerala,SC,15554.42,Student,Student,Higher Secondary,5,0.0,False,True,Skill India,Employment,True,27
55,Male,Tamil Nadu,ST,63301.99,Unemployed,Unemployed,Higher Secondary,5,0.0,True,False,PM Kisan,Agriculture,False,28
55,Male,Tamil Nadu,ST,63301.99,Unemployed,Unemployed,Higher Secondary,5,0.0,True,False,Post Matric Scholarship,Education,False,28
55,Male,Tamil Nadu,ST,63301.99,Unemployed,Unemployed,Higher Secondary,5,0.0,True,False,Ayushman Bharat,Healthcare,True,28
55,Male,Tamil Nadu,ST,63301.99,Unemployed,Unemployed,Higher Secondary,5,0.0,True,False,PM Awas Yojana,Housing,True,28
55,Male,Tamil Nadu,ST,63301.99,Unemployed,Unemployed,Higher Secondary,5,0.0,True,False,Skill India,Employment,True,28
38,Male,Karnataka,General,543633.01,Private Employee,Employed,Graduate,6,0.0,False,True,PM Kisan,Agriculture,False,29
38,Male,Karnataka,General,543633.01,Private Employee,Employed,Graduate,6,0.0,False,True,Post Matric Scholarship,Education,False,29
38,Male,Karnataka,General,543633.01,Private Employee,Employed,Graduate,6,0.0,False,True,Ayushman Bharat,Healthcare,False,29
38,Male,Karnataka,General,543633.01,Private Employee,Employed,Graduate,6,0.0,False,True,PM Awas Yojana,Housing,False,29
38,Male,Karnataka,General,543633.01,Private Employee,Employed,Graduate,6,0.0,False,True,Skill India,Employment,False,29
66,Female,Kerala,OBC,379760.57,Retired,Retired,Graduate,4,0.28,False,True,PM Kisan,Agriculture,False,30
66,Female,Kerala,OBC,379760.57,Retired,Retired,Graduate,4,0.28,False,True,Post Matric Scholarship,Education,False,30
66,Female,Kerala,OBC,379760.57,Retired,Retired,Graduate,4,0.28,False,True,Ayushman Bharat,Healthcare,False,30
66,Female,Kerala,OBC,379760.57,Retired,Retired,Graduate,4,0.28,False,True,PM Awas Yojana,Housing,False,30
66,Female,Kerala,OBC,379760.57,Retired,Retired,Graduate,4,0.28,False,True,Skill India,Employment,False,30
36,Male,Tamil Nadu,OBC,1794862.81,Business,Self-Employed,Higher Secondary,7,0.31,False,False,PM Kisan,Agriculture,False,31
36,Male,Tamil Nadu,OBC,1794862.81,Business,Self-Employed,Higher Secondary,7,0.31,False,False,Post Matric Scholarship,Education,False,31
36,Male,Tamil Nadu,OBC,1794862.81,Business,Self-Employed,Higher Secondary,7,0.31,False,False,Ayushman Bharat,Healthcare,False,31
36,Male,Tamil Nadu,OBC,1794862.81,Business,Self-Employed,Higher Secondary,7,0.31,False,False,PM Awas Yojana,Housing,False,31
36,Male,Tamil Nadu,OBC,1794862.81,Business,Self-Employed,Higher Secondary,7,0.31,False,False,Skill India,Employment,False,31
59,Other,Karnataka,OBC,481722.0,Private Employee,Employed,Post Graduate,2,0.0,False,True,PM Kisan,Agriculture,False,32
59,Other,Karnataka,OBC,481722.0,Private Employee,Employed,Post Graduate,2,0.0,False,True,Post Matric Scholarship,Education,False,32
59,Other,Karnataka,OBC,481722.0,Private Employee,Employed,Post Graduate,2,0.0,False,True,Ayushman Bharat,Healthcare,False,32
59,Other,Karnataka,OBC,481722.0,Private Employee,Employed,Post Graduate,2,0.0,False,True,PM Awas Yojana,Housing,False,32
59,Other,Karnataka,OBC,481722.0,Private Employee,Employed,Post Graduate,2,0.0,False,True,Skill India,Employment,False,32
29,Other,Tamil Nadu,OBC,144623.96,Farmer,Self-Employed,Higher Secondary,7,7.31,True,False,PM Kisan,Agriculture,True,33
29,Other,Tamil Nadu,OBC,144623.96,Farmer,Self-Employed,Higher Secondary,7,7.31,True,False,Post Matric Scholarship,Education,False,33
29,Other,Tamil Nadu,OBC,144623.96,Farmer,Self-Employed,Higher Secondary,7,7.31,True,False,Ayushman Bharat,Healthcare,True,33
29,Other,Tamil Nadu,OBC,144623.96,Farmer,Self-Employed,Higher Secondary,7,7.31,True,False,PM Awas Yojana,Housing,True,33
29,Other,Tamil Nadu,OBC,144623.96,Farmer,Self-Employed,Higher Secondary,7,7.31,True,False,Skill India,Employment,False,33
56,Male,Tamil Nadu,ST,1495791.48,Private Employee,Employed,Post Graduate,5,0.0,False,False,PM Kisan,Agriculture,False,34
56,Male,Tamil Nadu,ST,1495791.48,Private Employee,Employed,Post Graduate,5,0.0,False,False,Post Matric Scholarship,Education,False,34
56,Male,Tamil Nadu,ST,1495791.48,Private Employee,Employed,Post Graduate,5,0.0,False,False,Ayushman Bharat,Healthcare,False,34
56,Male,Tamil Nadu,ST,1495791.48,Private Employee,Employed,Post Graduate,5,0.0,False,False,PM Awas Yojana,Housing,False,34
56,Male,Tamil Nadu,ST,1495791.48,Private Employee,Employed,Post Graduate,5,0.0,False,False,Skill India,Employment,False,34
55,Other,Karnataka,OBC,60784.57,Farmer,Self-Employed,Higher Secondary,4,5.07,True,True,PM Kisan,Agriculture,True,35
55,Other,Karnataka,OBC,60784.57,Farmer,Self-Employed,Higher Secondary,4,5.07,True,True,Post Matric Scholarship,Education,False,35
55,Other,Karnataka,OBC,60784.57,Farmer,Self-Employed,Higher Secondary,4,5.07,True,True,Ayushman Bharat,Healthcare,True,35
55,Other,Karnataka,OBC,60784.57,Farmer,Self-Employed,Higher Secondary,4,5.07,True,True,PM Awas Yojana,Housing,True,35
55,Other,Karnataka,OBC,60784.57,Farmer,Self-Employed,Higher Secondary,4,5.07,True,True,Skill India,Employment,False,35
19,Other,Delhi,General,80122.52,Student,Student,Higher Secondary,3,0.0,False,True,PM Kisan,Agriculture,False,36
19,Other,Delhi,General,80122.52,Student,Student,Higher Secondary,3,0.0,False,True,Post Matric Scholarship,Education,True,36
19,Other,Delhi,General,80122.52,Student,Student,Higher Secondary,3,0.0,False,True,Ayushman Bharat,Healthcare,False,36
19,Other,Delhi,General,80122.52,Student,Student,Higher Secondary,3,0.0,False,True,PM Awas Yojana,Housing,False,36
19,Other,Delhi,General,80122.52,Student,Student,Higher Secondary,3,0.0,False,True,Skill India,Employment,True,36
65,Male,Delhi,SC,284267.07,Retired,Retired,Post Graduate,2,1.5,False,True,PM Kisan,Agriculture,False,37
65,Male,Delhi,SC,284267.07,Retired,Retired,Post Graduate,2,1.5,False,True,Post Matric Scholarship,Education,False,37
65,Male,Delhi,SC,284267.07,Retired,Retired,Post Graduate,2,1.5,False,True,Ayushman Bharat,Healthcare,False,37
65,Male,Delhi,SC,284267.07,Retired,Retired,Post Graduate,2,1.5,False,True,PM Awas Yojana,Housing,False,37
65,Male,Delhi,SC,284267.07,Retired,Retired,Post Graduate,2,1.5,False,True,Skill India,Employment,False,37
39,Male,Kerala,ST,149288.03,Farmer,Self-Employed,Primary,7,6.09,False,True,PM Kisan,Agriculture,True,38
39,Male,Kerala,ST,149288.03,Farmer,Self-Employed,Primary,7,6.09,False,True,Post Matric Scholarship,Education,False,38
39,Male,Kerala,ST,149288.03,Farmer,Self-Employed,Primary,7,6.09,False,True,Ayushman Bharat,Healthcare,False,38
39,Male,Kerala,ST,149288.03,Farmer,Self-Employed,Primary,7,6.09,False,True,PM Awas Yojana,Housing,False,38
39,Male,Kerala,ST,149288.03,Farmer,Self-Employed,Primary,7,6.09,False,True,Skill India,Employment,False,38
62,Other,Karnataka,ST,2126676.49,Business,Self-Employed,Graduate,6,1.92,False,True,PM Kisan,Agriculture,False,39
62,Other,Karnataka,ST,2126676.49,Business,Self-Employed,Graduate,6,1.92,False,True,Post Matric Scholarship,Education,False,39
62,Other,Karnataka,ST,2126676.49,Business,Self-Employed,Graduate,6,1.92,False,True,Ayushman Bharat,Healthcare,False,39
62,Other,Karnataka,ST,2126676.49,Business,Self-Employed,Graduate,6,1.92,False,True,PM Awas Yojana,Housing,False,39
62,Other,Karnataka,ST,2126676.49,Business,Self-Employed,Graduate,6,1.92,False,True,Skill India,Employment,False,39
51,Male,Tamil Nadu,SC,132367.58,Farmer,Self-Employed,Secondary,5,5.54,True,True,PM Kisan,Agriculture,True,40
51,Male,Tamil Nadu,SC,132367.58,Farmer,Self-Employed,Secondary,5,5.54,True,True,Post Matric Scholarship,Education,False,40
51,Male,Tamil Nadu,SC,132367.58,Farmer,Self-Employed,Secondary,5,5.54,True,True,Ayushman Bharat,Healthcare,True,40
51,Male,Tamil Nadu,SC,132367.58,Farmer,Self-Employed,Secondary,5,5.54,True,True,PM Awas Yojana,Housing,True,40
51,Male,Tamil Nadu,SC,132367.58,Farmer,Self-Employed,Secondary,5,5.54,True,True,Skill India,Employment,False,40
58,Male,Tamil Nadu,SC,291693.88,Private Employee,Employed,Post Graduate,6,0.0,False,True,PM Kisan,Agriculture,False,41
58,Male,Tamil Nadu,SC,291693.88,Private Employee,Employed,Post Graduate,6,0.0,False,True,Post Matric Scholarship,Education,False,41
58,Male,Tamil Nadu,SC,291693.88,Private Employee,Employed,Post Graduate,6,0.0,False,True,Ayushman Bharat,Healthcare,False,41
58,Male,Tamil Nadu,SC,291693.88,Private Employee,Employed,Post Graduate,6,0.0,False,True,PM Awas Yojana,Housing,False,41
58,Male,Tamil Nadu,SC,291693.88,Private Employee,Employed,Post Graduate,6,0.0,False,True,Skill India,Employment,False,41
20,Male,Kerala,SC,1872.87,Student,Student,Graduate,5,0.0,True,False,PM Kisan,Agriculture,False,42
20,Male,Kerala,SC,1872.87,Student,Student,Graduate,5,0.0,True,False,Post Matric Scholarship,Education,True,42
20,Male,Kerala,SC,1872.87,Student,Student,Graduate,5,0.0,True,False,Ayushman Bharat,Healthcare,True,42
20,Male,Kerala,SC,1872.87,Student,Student,Graduate,5,0.0,True,False,PM Awas Yojana,Housing,True,42
20,Male,Kerala,SC,1872.87,Student,Student,Graduate,5,0.0,True,False,Skill India,Employment,True,42
61,Other,Kerala,General,382053.87,Retired,Retired,Graduate,6,4.65,False,True,PM Kisan,Agriculture,False,43
61,Other,Kerala,General,382053.87,Retired,Retired,Graduate,6,4.65,False,True,Post Matric Scholarship,Education,False,43
61,Other,Kerala,General,382053.87,Retired,Retired,Graduate,6,4.65,False,True,Ayushman Bharat,Healthcare,False,43
61,Other,Kerala,General,382053.87,Retired,Retired,Graduate,6,4.65,False,True,PM Awas Yojana,Housing,False,43
61,Other,Kerala,General,382053.87,Retired,Retired,Graduate,6,4.65,False,True,Skill India,Employment,False,43
33,Male,Maharashtra,General,0.0,Homemaker,Unemployed,Primary,8,2.68,True,False,PM Kisan,Agriculture,False,44
33,Male,Maharashtra,General,0.0,Homemaker,Unemployed,Primary,8,2.68,True,False,Post Matric Scholarship,Education,False,44
33,Male,Maharashtra,General,0.0,Homemaker,Unemployed,Primary,8,2.68,True,False,Ayushman Bharat,Healthcare,True,44
33,Male,Maharashtra,General,0.0,Homemaker,Unemployed,Primary,8,2.68,True,False,PM Awas Yojana,Housing,True,44
33,Male,Maharashtra,General,0.0,Homemaker,Unemployed,Primary,8,2.68,True,False,Skill India,Employment,False,44
29,Male,Maharashtra,SC,1338334.3,Business,Self-Employed,Higher Secondary,7,3.47,False,False,PM Kisan,Agriculture,False,45
29,Male,Maharashtra,SC,1338334.3,Business,Self-Employed,Higher Secondary,7,3.47,False,False,Post Matric Scholarship,Education,False,45
